Description,Price (Eur),Number of Rooms,Number of Beds,Area in (sqm),Website,Qualities,Types,Names-Places
Nicely cut 3-room apartment in the heart of Berlin - comfortably furnished,"€2,440",3,2,78.25 m²,https://wunderflats.com/en/furnished-apartment/nicely-cut-3-room-apartment-in-the-heart-of-berlin-comfortably-furnished/5f3f78eef587b100065dd792?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['3-room'],"['apartment', 'heart']",['Berlin']
Beautiful apartment in best location,"€2,200",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/g/beautiful-apartment-in-best-location/_CTG7x_wCO?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['Beautiful'],"['apartment', 'location']",[]
Charming and modern loft located at Hackescher Markt (Berlin),"€1,490",1,1,55 m²,https://wunderflats.com/en/furnished-apartment/g/charming-and-modern-loft-located-at-hackescher-markt-berlin/U0yqkiGica?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['modern'],['loft'],"['Hackescher', 'Markt', 'Berlin']"
Cute and gorgeous studio close to Ku'damm,"€1,500",2,1,70 m²,https://wunderflats.com/en/furnished-apartment/cute-and-gorgeous-studio-close-to-kudamm/603189606e7857000817853a?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['gorgeous'],"['studio', 'close']","['Cute', ""Ku'damm""]"
Beautiful and gorgeous studio in Mitte,"€3,078",2,1,71 m²,https://wunderflats.com/en/furnished-apartment/beautiful-and-gorgeous-studio-in-mitte/5f490abe0f82170006ed19b8?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['gorgeous'],['studio'],"['Beautiful', 'Mitte']"
Cute and gorgeous suite located in Charlottenburg,"€1,450",2,2,52 m²,https://wunderflats.com/en/furnished-apartment/cute-and-gorgeous-suite-located-in-charlottenburg/57f4c1dbf97abc2d43993cac?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['gorgeous'],['suite'],"['Cute', 'Charlottenburg']"
"YOUR PENTHOUSE WITH A VIEW OF THE AQUARIUM on the pulse of the city, live in the heart of the metropolis","€7,000",4,2,150 m²,https://wunderflats.com/en/furnished-apartment/your-penthouse-with-a-view-of-the-aquarium-on-the-pulse-of-the-city-live-in-the-heart-of-the-metropolis/60c89cf66677c800074ff0ae?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,[],"['PENTHOUSE', 'VIEW', 'pulse', 'city', 'heart', 'metropolis']","['THE', 'AQUARIUM']"
Sunny rooftop apartment with terrace,"€1,890",3,1,78 m²,https://wunderflats.com/en/furnished-apartment/sunny-rooftop-apartment-with-terrace/5bdb2cf2131b0efc29b14899?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,[],"['apartment', 'terrace']",['Sunny']
Fantastic & central fully furnished 3 room apartment in Berlin Tempelhof-Schöneberg,"€1,690",3,3,70 m²,https://wunderflats.com/en/furnished-apartment/fantastic-and-central-fully-furnished-3-room-apartment-in-berlin-tempelhof-schoeneberg/5b61b4d598a82547926f2245?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['central'],"['room', 'apartment']","['Fantastic', 'Berlin', 'Tempelhof-Schöneberg']"
Perfect & fantastic home in Charlottenburg,"€2,150",3,3,92 m²,https://wunderflats.com/en/furnished-apartment/perfect-and-fantastic-home-in-charlottenburg/6068599d150f3b000788860a?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['fantastic'],['home'],"['Perfect', 'Charlottenburg']"
Nice & spacious apartment in the city centre,"€1,720",2,1,65 m²,https://wunderflats.com/en/furnished-apartment/nice-and-spacious-apartment-in-the-city-centre/59e7bf731daf2c22358ea795?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['spacious'],"['apartment', 'city', 'centre']",['Nice']
Beautiful loft in Weißensee (Berlin),"€1,090",1,2,30 m²,https://wunderflats.com/en/furnished-apartment/beautiful-loft-in-weissensee-berlin/60c7958cc54275000766fa4a?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['Beautiful'],['loft'],"['Weißensee', 'Berlin']"
COZY ONE BEDROOM APARTMENT IN FRIEDRICHSHAIN,"€1,250",2,1,40 m²,https://wunderflats.com/en/furnished-apartment/cozy-one-bedroom-apartment-in-friedrichshain/5f0c5308112a8500069ec836?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,[],[],"['COZY', 'ONE', 'BEDROOM', 'APARTMENT', 'IN', 'FRIEDRICHSHAIN']"
Nice apartment in Adlershof,"€1,299",1,1,55 m²,https://wunderflats.com/en/furnished-apartment/nice-apartment-in-adlershof/58e250999d33bf15c492fbb0?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,[],['apartment'],"['Nice', 'Adlershof']"
Beautiful bright apartment with balcony,"€1,500",3,2,70 m²,https://wunderflats.com/en/furnished-apartment/beautiful-bright-apartment-with-balcony/5f40dd85d7c9970006d9a6a7?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,"['Beautiful', 'bright']","['apartment', 'balcony']",[]
Fantastic and modern loft,"€1,400",1,1,45 m²,https://wunderflats.com/en/furnished-apartment/fantastic-and-modern-loft/58bd37c39610cca36c0f650b?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,"['Fantastic', 'modern']",['loft'],[]
Bright designer apartment in Wilmersdorf - 5min subway,"€1,590",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/bright-designer-apartment-in-wilmersdorf-5min-subway/5c217b7d227bdc0005cc564a?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,[],"['designer', 'apartment', 'subway']","['Bright', 'Wilmersdorf']"
Superior Apartment in Berlin-Mitte,"€1,550",1,1,45 m²,https://wunderflats.com/en/furnished-apartment/superior-apartment-in-berlin-mitte/5eba5856c5212500074e9669?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['Superior'],[],"['Apartment', 'Berlin-Mitte']"
"Modern luxury home in Schöneberg - fully equipped, beautiful location","€3,900",2,2,130 m²,https://wunderflats.com/en/furnished-apartment/modern-luxury-home-in-schoeneberg-fully-equipped-beautiful-location/5b4f38c28947c60949c4537a?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,"['Modern', 'beautiful']","['luxury', 'home', 'location']",['Schöneberg']
Beautiful & wonderful studio located in Moabit,"€2,349",3,3,81.4 m²,https://wunderflats.com/en/furnished-apartment/beautiful-and-wonderful-studio-located-in-moabit/60a1653ff7e6cf0007934f32?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['wonderful'],['studio'],"['Beautiful', 'Moabit']"
"Nice, gorgeous studio (Mitte)","€1,175",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/nice-gorgeous-studio-mitte/5a7dffdde37b2570273c9d68?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['gorgeous'],['studio'],"['Nice', 'Mitte']"
"Fashionable home in Charlottenburg, Berlin","€2,400",3,2,110 m²,https://wunderflats.com/en/furnished-apartment/fashionable-home-in-charlottenburg-berlin/5cb081e5557b8800097f2d4e?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['Fashionable'],['home'],"['Charlottenburg', 'Berlin']"
Modern 1-Bedroom Apartment in Charlottenburg,"€1,690",2,1,57 m²,https://wunderflats.com/en/furnished-apartment/modern-1-bedroom-apartment-in-charlottenburg/5dd2a41441b81f000604e01a?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,"['Modern', '1-Bedroom']",['Apartment'],['Charlottenburg']
"Friendly, furnished 2 room old building apartment with balcony in Berlin-Spandau","€1,090",2,1,56 m²,https://wunderflats.com/en/furnished-apartment/friendly-furnished-2-room-old-building-apartment-with-balcony-in-berlin-spandau/5d2468f9f8174f0006f6eef5?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['old'],"['room', 'building', 'apartment', 'balcony']",['Berlin-Spandau']
"Nice,  quiet maisonette apartment in the middle of Lichtenrade (Berlin)","€1,990",4,2,92 m²,https://wunderflats.com/en/furnished-apartment/nice-quiet-maisonette-apartment-in-the-middle-of-lichtenrade-berlin/5e087e8d449a2a00066046c1?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['quiet'],"['maisonette', 'apartment', 'middle']","['Nice', 'Lichtenrade', 'Berlin']"
Awesome home in Schöneberg,"€1,700",3,4,76 m²,https://wunderflats.com/en/furnished-apartment/awesome-home-in-schoeneberg/5f169610d9b5e800060cd6ac?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,[],['home'],"['Awesome', 'Schöneberg']"
"Centrally located, 1-bedroom apartment, bright, close to Alexanderplatz (9571)","€1,720",2,1,52 m²,https://wunderflats.com/en/furnished-apartment/centrally-located-1-bedroom-apartment-bright-close-to-alexanderplatz-9571/5a7e3eac91b5deacdfa1721d?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['1-bedroom'],['apartment'],['Alexanderplatz']
Cute suite in Oberschöneweide (Berlin),"€1,200",2,1,66 m²,https://wunderflats.com/en/furnished-apartment/cute-suite-in-oberschoeneweide-berlin/5dfa28500f8ee700064373f7?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,[],['suite'],"['Cute', 'Oberschöneweide', 'Berlin']"
Modern & cozy apartment in Berlin Wilmersdorf!!! (5 minutes to Kurfürstendamm),"€1,400",2,2,53 m²,https://wunderflats.com/en/furnished-apartment/modern-and-cozy-apartment-in-berlin-wilmersdorf-5-minutes-to-kurfuerstendamm/5f5f2d4b60258d000a9c3390?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['cozy'],['apartment'],"['Modern', 'Berlin', 'Wilmersdorf', 'Kurfürstendamm']"
Studio Apartment in central Mitte near Torstrasse,"€1,400",1,1,40 m²,https://wunderflats.com/en/furnished-apartment/studio-apartment-in-central-mitte-near-torstrasse/5dd4215180680a0006654602?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['central'],[],"['Studio', 'Apartment', 'Mitte', 'Torstrasse']"
Urban living: Nice & spacious flat with car parking,"€1,550",1,1,49 m²,https://wunderflats.com/en/furnished-apartment/urban-living-nice-and-spacious-flat-with-car-parking/5c11658f12946d0006499b96?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,"['Urban', 'spacious']","['living', 'flat', 'car', 'parking']",['Nice']
"Furnished apartment, near Berlin Wall in Lichtenrade - very good location","€1,690",2,2,42 m²,https://wunderflats.com/en/furnished-apartment/furnished-apartment-near-berlin-wall-in-lichtenrade-very-good-location/5a4131f51bb1f26bdafa3f1c?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['good'],"['apartment', 'location']","['Furnished', 'Berlin', 'Wall', 'Lichtenrade']"
Well equipped 3-room apartment in Friedrichshain/Boxhagener Str.,"€2,250",3,2,57 m²,https://wunderflats.com/en/furnished-apartment/well-equipped-3-room-apartment-in-friedrichshainboxhagener-str/5d42ea33b3d5e8000a92ada8?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,[],['apartment'],"['Friedrichshain/Boxhagener', 'Str']"
Penthouse Studio Loft with Terrace in Mitte,"€1,650",1,1,48 m²,https://wunderflats.com/en/furnished-apartment/penthouse-studio-loft-with-terrace-in-mitte/59b58a270db99096a1ce260d?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,[],[],"['Penthouse', 'Studio', 'Loft', 'Terrace', 'Mitte']"
Gorgeous single room apartment in Shoneberg 3 -1bed Etage 0,"€1,250",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/gorgeous-single-room-apartment-in-shoneberg-3-1bed-etage-0/5d1f0d9ff5a0f600061ec0b6?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,"['Gorgeous', 'single']","['room', 'apartment', 'Etage']",['Shoneberg']
Lovely home in Berlin Moabit,"€1,800",4,3,120 m²,https://wunderflats.com/en/furnished-apartment/lovely-home-in-berlin-moabit/60a36f2382e7a9000937c456?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,[],['home'],"['Berlin', 'Moabit']"
Superior Studios-Apartments in a quiet central location near Kurfürstendamm (#103 Category L),"€2,290",3,2,58 m²,https://wunderflats.com/en/furnished-apartment/superior-studios-apartments-in-a-quiet-central-location-near-kurfuerstendamm-103-category-l/5d9df7c9699bbb0006eb3cde?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,"['Superior', 'quiet', 'central']",['location'],"['Kurfürstendamm', 'Category', 'L']"
Bright apartment in a listed building in the middle of Kreuzberg,"€2,200",3,3,75 m²,https://wunderflats.com/en/furnished-apartment/bright-apartment-in-a-listed-building-in-the-middle-of-kreuzberg/5ecd0df68d5d220006799b91?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,"['Bright', 'listed']","['apartment', 'building', 'middle']",['Kreuzberg']
Beautiful and furnished 3 room apartment close to Ku'damm,"€1,590",3,2,63 m²,https://wunderflats.com/en/furnished-apartment/beautiful-and-furnished-3-room-apartment-close-to-kudamm/5d3703462255cc000779e484?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,[],"['room', 'apartment']","['Beautiful', ""Ku'damm""]"
AMAZING APARTMENT IN THE COOLEST AREA,"€1,300",1,1,46 m²,https://wunderflats.com/en/furnished-apartment/amazing-apartment-in-the-coolest-area/5bd0b058b2f9e246a9ec8670?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['AMAZING'],[],"['APARTMENT', 'IN', 'THE', 'COOLEST', 'AREA']"
Very sunny central flat in Mitte,"€1,980",2,1,70 m²,https://wunderflats.com/en/furnished-apartment/very-sunny-central-flat-in-mitte/5e0cb9199eb15c0006dc4ef6?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,"['sunny', 'central', 'flat']",[],['Mitte']
Fashionable and gorgeous studio in Charlottenburg,"€3,300",6,3,200 m²,https://wunderflats.com/en/furnished-apartment/fashionable-and-gorgeous-studio-in-charlottenburg/60d8cb2dbe81a900076c1c2f?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,"['Fashionable', 'gorgeous']",['studio'],['Charlottenburg']
Design flat in Friedrichshain,"€1,950",3,2,70 m²,https://wunderflats.com/en/furnished-apartment/design-flat-in-friedrichshain/590cde008f81d3bce81dd7cb?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['flat'],[],"['Design', 'Friedrichshain']"
4 Room Apartment in Friedrichshain,"€2,200",4,3,118 m²,https://wunderflats.com/en/furnished-apartment/4-room-apartment-in-friedrichshain/5c69f38a48442d0006a020fc?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,[],[],"['Room', 'Apartment', 'Friedrichshain']"
Charming brand new 1-room apartment in trendy Schöneberg - perfect for single or couples,"€1,380",1,1,44 m²,https://wunderflats.com/en/furnished-apartment/charming-brand-new-1-room-apartment-in-trendy-schoeneberg-perfect-for-single-or-couples/5c3fd7d121759800062f486e?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,"['new', '1-room', 'trendy', 'single']","['brand', 'apartment', 'perfect']",['Schöneberg']
Beautiful loft located in Neukölln,"€1,800",2,4,60 m²,https://wunderflats.com/en/furnished-apartment/beautiful-loft-located-in-neukoelln/603361ad006da700088dc828?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['Beautiful'],[],['Neukölln']
Modern apartment in the heart of Berlin.,"€1,190",1,1,25 m²,https://wunderflats.com/en/furnished-apartment/modern-apartment-in-the-heart-of-berlin/5f0eaf4b5af4960006af6d9c?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['Modern'],"['apartment', 'heart']",['Berlin']
Charming and pretty studio located in Schöneberg,"€1,650",2,3,55 m²,https://wunderflats.com/en/furnished-apartment/g/charming-and-pretty-studio-located-in-schoeneberg/HvXDOU176R?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,['pretty'],['studio'],['Schöneberg']
"Cute, fantastic suite in popular area","€1,799",3,3,83 m²,https://wunderflats.com/en/furnished-apartment/cute-fantastic-suite-in-popular-area/5fda5fbd3e09ec0007080fc3?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,"['fantastic', 'popular']","['suite', 'area']",['Cute']
cozy studio in Neukölln,€920,1,1,35 m²,https://wunderflats.com/en/furnished-apartment/cozy-studio-in-neukoelln/5c8658b91a20a8000742026b?dataLayerKey=9pXf_8RSpyMQ5uz6ZsWlL,[],"['cozy', 'studio']",['Neukölln']
"Spacious, bright apartment near Kollwitzplatz and ALEX","€2,490",3,6,80 m²,https://wunderflats.com/en/furnished-apartment/g/spacious-bright-apartment-near-kollwitzplatz-and-alex/rk7Kc9sa6LQl?dataLayerKey=kikkBW-kqCXgDqD12cN6D,"['Spacious', 'bright']",['apartment'],"['Kollwitzplatz', 'ALEX']"
Newly renovated fully furnished apartment (before use )  on the canal of Paul Linke Ufer - with balcony,"€1,590",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/newly-renovated-fully-furnished-apartment-before-use-on-the-canal-of-paul-linke-ufer-with-balcony/5a1094600f72815e6467cf2e?dataLayerKey=kikkBW-kqCXgDqD12cN6D,[],"['apartment', 'use', 'canal', 'balcony']","['Paul', 'Linke', 'Ufer']"
Neat and modern suite in Friedrichshain,"€1,890",3,1,80 m²,https://wunderflats.com/en/furnished-apartment/neat-and-modern-suite-in-friedrichshain/6040d55ed184a90006580dc7?dataLayerKey=kikkBW-kqCXgDqD12cN6D,['modern'],['suite'],"['Neat', 'Friedrichshain']"
Beautiful & nice suite close to city center with balcony,"€1,590",2,2,55 m²,https://wunderflats.com/en/furnished-apartment/beautiful-and-nice-suite-close-to-city-center-with-balcony/58e7c9882f90825acbe0f9fa?dataLayerKey=kikkBW-kqCXgDqD12cN6D,"['nice', 'close']","['suite', 'city', 'center', 'balcony']",['Beautiful']
"Modern, lovely flat, Berlin","€1,075",1,1,36 m²,https://wunderflats.com/en/furnished-apartment/modern-lovely-flat-berlin/574b1fe3ee0845ebfaecd91f?dataLayerKey=kikkBW-kqCXgDqD12cN6D,['flat'],[],"['Modern', 'Berlin']"
"Great, bright flat","€2,000",2,2,76 m²,https://wunderflats.com/en/furnished-apartment/great-bright-flat/5f558c9a11c4160006f0ec71?dataLayerKey=kikkBW-kqCXgDqD12cN6D,['flat'],[],['Great']
Cozy & perfect apartment with nice neighbours,"€1,700",2,2,50 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-perfect-apartment-with-nice-neighbours/5fe2471488d281000679a7d6?dataLayerKey=kikkBW-kqCXgDqD12cN6D,"['perfect', 'nice']",['apartment'],['Cozy']
Lovely and new flat,"€1,850",2,2,61 m²,https://wunderflats.com/en/furnished-apartment/lovely-and-new-flat/5db9830e9b2c8e0006cf0fc3?dataLayerKey=kikkBW-kqCXgDqD12cN6D,"['new', 'flat']",[],[]
Fashionable and fantastic studio in Friedrichshain,"€1,490",1,1,38 m²,https://wunderflats.com/en/furnished-apartment/fashionable-and-fantastic-studio-in-friedrichshain/5c696539fbdb8a0007056eb1?dataLayerKey=kikkBW-kqCXgDqD12cN6D,"['Fashionable', 'fantastic']",['studio'],['Friedrichshain']
Stylish Altbau apartment at Ostkreuz with balcony,"€1,290",2,1,57 m²,https://wunderflats.com/en/furnished-apartment/stylish-altbau-apartment-at-ostkreuz-with-balcony/5e53a48559ed080006b81b6a?dataLayerKey=kikkBW-kqCXgDqD12cN6D,['Stylish'],"['apartment', 'balcony']","['Altbau', 'Ostkreuz']"
"Awesome, great apartment in nice area, with parking space","€1,050",1,1,38 m²,https://wunderflats.com/en/furnished-apartment/awesome-great-apartment-in-nice-area-with-parking-space/56fd5239209fe499cdce291b?dataLayerKey=kikkBW-kqCXgDqD12cN6D,"['great', 'nice']","['apartment', 'area', 'space']",['Awesome']
Great apartment in Französisch Buchholz,"€1,280",3,2,76 m²,https://wunderflats.com/en/furnished-apartment/great-apartment-in-franzoesisch-buchholz/5bb5e1935bab854fc005e288?dataLayerKey=kikkBW-kqCXgDqD12cN6D,[],['apartment'],"['Great', 'Französisch', 'Buchholz']"
Beautiful studio in Charlottenburg (Berlin),€700,1,2,25 m²,https://wunderflats.com/en/furnished-apartment/beautiful-studio-in-charlottenburg-berlin/5fd90192856ccb0007efbd1f?dataLayerKey=kikkBW-kqCXgDqD12cN6D,['Beautiful'],['studio'],"['Charlottenburg', 'Berlin']"
Amazing & charming flat in Charlottenburg,"€2,000",3,1,110 m²,https://wunderflats.com/en/furnished-apartment/amazing-and-charming-flat-in-charlottenburg/60d0c502c4f3ba0007d786de?dataLayerKey=kikkBW-kqCXgDqD12cN6D,['flat'],[],"['Amazing', 'Charlottenburg']"
Living directly on the waterfront with a magnificent view and with our own jetty,€920,1,1,40 m²,https://wunderflats.com/en/furnished-apartment/living-directly-on-the-waterfront-with-a-magnificent-view-and-with-our-own-jetty/5d4d77558a5d700007efec81?dataLayerKey=kikkBW-kqCXgDqD12cN6D,"['magnificent', 'own']","['waterfront', 'view', 'jetty']",[]
Modernes Apartment mit Doppelbet am Tegeler See,€750,1,1,25 m²,https://wunderflats.com/en/furnished-apartment/modernes-apartment-mit-doppelbet-am-tegeler-see/5f28019cdc38ec0006bfb7f4?dataLayerKey=kikkBW-kqCXgDqD12cN6D,[],['mit'],"['Apartment', 'Doppelbet', 'Tegeler', 'See']"
Modern flat located in Mitte,"€2,830",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/modern-flat-located-in-mitte/5f49050d878a380006ff3961?dataLayerKey=kikkBW-kqCXgDqD12cN6D,['flat'],[],"['Modern', 'Mitte']"
Neat and cute flat in Reinickendorf,"€1,150",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/neat-and-cute-flat-in-reinickendorf/60dc5b99a428f40008a2a778?dataLayerKey=kikkBW-kqCXgDqD12cN6D,['cute'],['flat'],"['Neat', 'Reinickendorf']"
Great & fashionable home in Charlottenburg,"€1,190",2,2,39.5 m²,https://wunderflats.com/en/furnished-apartment/great-and-fashionable-home-in-charlottenburg/5f295b7e04c55f00066586b8?dataLayerKey=kikkBW-kqCXgDqD12cN6D,['fashionable'],['home'],"['Great', 'Charlottenburg']"
Modern & pretty home with heigh ceilings (Wedding),"€1,050",1,1,42 m²,https://wunderflats.com/en/furnished-apartment/modern-and-pretty-home-with-heigh-ceilings-wedding/58a5efad4a8d25c977bc735f?dataLayerKey=kikkBW-kqCXgDqD12cN6D,['heigh'],['home'],['Modern']
"Large, luxury apartment with balcony at Potsdamer Platz with balcony 5 minutes from the main train station (Berlin city center)","€2,950",3,2,95 m²,https://wunderflats.com/en/furnished-apartment/large-luxury-apartment-with-balcony-at-potsdamer-platz-with-balcony-5-minutes-from-the-main-train-station-berlin-city-center/5c1b727722fe600006b9d6ed?dataLayerKey=kikkBW-kqCXgDqD12cN6D,"['Large', 'main']","['luxury', 'apartment', 'balcony', 'balcony', 'train', 'station', 'city', 'center']","['Potsdamer', 'Platz', 'Berlin']"
